url,zip_code,locality,price,type_transaction,subtype_transaction,type_of_property,subtype_of_property,energy_class,heating_type,construction_year,number_of_frontages,surface_land,surface_livable_space,number_floors,building_condition,surroundings_type,furnished,nb_of_rooms,rooms_living_room,rooms_dining_room,rooms_kitchen_type_installed,rooms_kitchen_type_kitchen_surface,rooms_bedrooms_number,rooms_bedrooms_surface,rooms_bathrooms_number,rooms_toilets_number,rooms_laundry_room,rooms_office_presence,rooms_office_surface,rooms_basement_presence,rooms_basement_surface,rooms_attic,extras_open_fire,exterior_terrace_presence,exterior_terrace_surface,exterior_terrace_orientation,exterior_garden_presence,exterior_garden_surface,exterior_garden_orientation,exterior_swimming_pool
https://www.immoweb.be/en/classified/penthouse/for-rent/hasselt/3500/11433124,3500,Hasselt,1150.0,FOR_RENT,RENT_REGULAR,APARTMENT,PENTHOUSE,B,,1989,,,,8,Good,,False,8,,,False,9,2,"['17', '15']",1,2,False,False,,True,9,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/ciney/5590/11479744,5590,Ciney,850.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,D,Gas,,2,,114,,As new,,False,9,13,True,Installed,9,2,"['10', '9']",1,1,False,False,,True,,False,False,True,,,False,,,No
https://www.immoweb.be/en/classified/kot/for-rent/leuven/3000/11465407,3000,Leuven,650.0,FOR_RENT,RENT_REGULAR,APARTMENT,KOT,Not specified,,,,,16,3,Good,,False,6,,,Installed,,,[],,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/uccle/1180/11424440,1180,Uccle,4800.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,F,Gas,,4,800,380,2,As new,,True,15,50,True,Hyper equipped,,4,[],2,4,False,True,38,False,,False,False,True,,,True,600,,No
https://www.immoweb.be/en/classified/duplex/for-rent/etterbeek/1040/11478653,1040,Etterbeek,1350.0,FOR_RENT,RENT_REGULAR,APARTMENT,DUPLEX,C,Gas,,2,,90,3,Good,,False,8,,,Hyper equipped,,2,[],1,2,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/ground-floor/for-rent/westerlo-westerlo/2260/11425909,2260,Westerlo (Westerlo),880.0,FOR_RENT,RENT_REGULAR,APARTMENT,GROUND_FLOOR,C,Gas,1995,3,,90,1,,,False,8,,True,Hyper equipped,,2,[],1,,False,False,,False,,False,False,False,,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/schilde/2970/11467192,2970,Schilde,2800.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,,2023,,,150,,,,False,8,54,,Hyper equipped,,2,"['14', '14']",1,,False,False,,False,,False,False,True,42,,False,,,False
https://www.immoweb.be/en/classified/flat-studio/for-rent/gent/9000/10727594,9000,Gent,415.0,FOR_RENT,RENT_REGULAR,APARTMENT,FLAT_STUDIO,C,,,,,13,4,Good,,False,6,,,False,,,[],,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/bungalow/for-rent/grembergen/9200/11444802,9200,GREMBERGEN,925.0,FOR_RENT,RENT_REGULAR,HOUSE,BUNGALOW,D,Fuel oil,,4,,,,Good,,False,9,,,Semi equipped,,3,"['18', '17', '12']",1,2,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/musson/6750/11454192,6750,MUSSON,1900.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,C,Fuel oil,,,,129,,,,False,10,26,,False,,3,[],1,2,False,False,,True,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/oostende/8400/11470923,8400,Oostende,875.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,,,,,,,,,False,7,,,Installed,,2,[],,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/westerlo-westerlo/2260/11427935,2260,Westerlo (Westerlo),760.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,1995,3,,90,1,,,False,8,,True,False,,2,[],1,,False,False,,False,,False,False,True,,,False,,,No
